Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkPackMuleRank1LongDesc,progression,perk Str,,,Who has time to organize their stuff perfectly? Carry three more items without being cucumbered.,,"Wer hat schon Zeit, das ganze Zeug schön zu ordnen? Du kannst drei Gegenstände mehr tragen, bevor du überbelastet wirst.",¿Quién tiene tiempo para organizar sus cosas perfectamente? Lleva tres artículos más sin desbordarte.,Qui a le temps de ranger toutes ses affaires à la perfection ? Vous portez trois objets supplémentaires sans souffrir d'encombrement.,Chi ha tempo di organizzare le proprie cose alla perfezione? Trasporta 3 oggetti in più senza diventare sovraccarico.,完璧に整理整頓する暇なんて誰にあるのでしょう？動きが阻害されることなく、アイテムを3つ多く運べる。,자기들 물건을 완벽히 정리할 수 있는 시간을 누가 가졌겠어요? 방해받지 않고 3개 더 많은 아이템을 소지할 수 있습니다.,Kto niby ma czas na porządki? Noś trzy dodatkowe przedmioty bez przeciążenia.,Quem tem tempo para organizar as coisas perfeitamente? Carregue mais três itens sem ficar sobrecarregado.,У нормальных людей нет времени складывать свои вещи аккуратно. Вы можете нести еще три предмета без последствий.,Eşyalarını düzenli tutmaya kimin zamanı var ki? Yükün ağır gelmeden üç öğe daha fazla taşı.,谁有时间把自己的东西整理得完美无缺？负重不受影响，再携带三样东西。,誰有時間把他們他們的東西整理好？再帶三樣東西而不會負重。,¿Quién tiene tiempo para organizar sus cosas perfectamente? Lleva tres artículos más sin desbordarte.
perkPackMuleRank2LongDesc,progression,perk Str,,,You know it's in there somewhere. Carry an additional three more items without being cucumbered.,,"Du weißt, dass es irgendwo da drin ist. Du kannst drei weitere Gegenstände tragen, bevor du überbelastet wirst.",Sabes que está en alguna parte. Lleva otros tres artículos más sin desbordarte.,Vous savez bien que ça doit se trouver quelque part là-dedans. Vous portez à nouveau trois objets supplémentaires sans souffrir d'encombrement.,Sai che è lì da qualche parte. Trasporta altri 3 oggetti in più senza diventare sovraccarico.,中に入っていることは分かってるんです。動きが阻害されることなく、アイテムをさらに3つ多く運べる。,저 안에 무언가 있다는 걸 알고 있겠죠. 방해받지 않고 추가로 3개 더 많은 아이템을 소지할 수 있습니다.,Przed chwilą mignęło mi przed oczami! Możesz nosić dodatkowo trzy przedmioty bez przeciążenia.,Você sabe que está em algum lugar aí dentro. Carregue mais três itens sem ficar sobrecarregado.,"Вы знаете, что эта штука где-то здесь. Вы можете нести три дополнительных предмета без последствий.",Şurada bir yerde olduğundan eminsin. Yükün ağır gelmeden üç öğe daha taşı.,你知道它就在某个地方。负重不受影响，再携带额外三样东西。,你知道它就在某個地方。再帶三樣東西而不會負重。,Sabes que está en alguna parte. Lleva otros tres artículos más sin desbordarte.
perkPackMuleRank3LongDesc,progression,perk Str,,,You know exactly where everything is. Carry four additional items without being cucumbered.,,"Du weißt genau, wo du was findest. Du kannst vier Gegenstände mehr tragen, bevor du überbelastet wirst.",Sabes exactamente dónde está todo. Lleve cuatro artículos adicionales sin ser gravados.,Vous savez où chaque chose est rangée. Vous portez quatre objets supplémentaires sans souffrir d'encombrement.,Sai esattamente dove si trova ogni cosa. Trasporta 4 oggetti in più senza diventare sovraccarico.,何がどこにあるのかちゃんと把握しています。動きが阻害されることなく、アイテムをさらに4つ多く運べる。,어디에 무엇이 있는지 정확히 알고 계시군요. 방해받지 않고 추가로 4개 더 많은 아이템을 소지할 수 있습니다.,"Doskonale wiesz, gdzie co jest. Noś cztery dodatkowe przedmioty bez przeciążenia.",Você sabe exatamente onde tudo está. Carregue mais quatro itens sem ficar sobrecarregado.,"Вы отлично знаете, что где лежит. Вы можете нести четыре дополнительных предмета без последствий.",Her şeyin yerini iyi biliyorsun. Yükün ağır gelmeden ek dört öğe taşı.,你知道所有东西的确切位置。负重不受影响，再携带额外四样东西。,你準確知道東西在哪裏。再帶四樣東西而不會負重。,Sabes exactamente dónde está todo. Lleve cuatro artículos adicionales sin ser gravados.
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry four more items without being cucumbered.",,"Inspektion bestanden, Soldat.  Du kannst vier weitere Gegenstände tragen, bevor du überbelastet wirst.",Acabas de pasar la inspección en privado.  Lleva cuatro artículos más sin desbordarte.,Vous venez juste de réussir votre inspection privée.  Vous portez quatre objets supplémentaires sans souffrir d'encombrement.,"Hai passato l'ispezione, soldato.  Trasporta altri 4 oggetti senza diventare sovraccarico.",荷物点検に合格しました。動きが阻害されることなく、アイテムを4つ多く運べる。,방금 개인 검사를 통과했습니다.  방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.,"Kontrola przeszła pozytywnie, żołnierzu.  Noś kolejne cztery przedmioty bez przeciążenia.",Tudo em ordem.  Carregue mais quatro itens sem ficar sobrecarregado.,"Вы только что прошли проверку, рядовой.  Вы можете нести еще четыре предмета без последствий.",Denetimi başarıyla geçtin asker.  Yükün ağır gelmeden dört öğe daha fazla taşı.,你刚刚通过了私人检查。负重不受影响，再携带四样东西。,你剛通過私人檢查。再帶四樣東西而不會負重。,Acabas de pasar la inspección en privado.  Lleva cuatro artículos más sin desbordarte.
perkPackMuleRank5LongDesc,progression,perk Str,,,"Now you are just showing off, you are either part mule or a strongman. Carry four more items without being cucumbered.",,"Jetzt gibst du aber an. Du bist entweder halb Esel oder wirklich, wirklich stark. Du kannst vier weitere Gegenstände tragen, bevor du überbelastet wirst.","Ahora solo estás presumiendo, eres parte mula o un hombre fuerte. Lleva cuatro artículos más sin desbordarte.","C'est bon, on a compris : soit vous êtes à moitié mule, soit vous êtes très fort. Vous portez quatre objets supplémentaires sans souffrir d'encombrement.",Ora ti stai dando le arie: o sei un mulo da soma oppure un bodybuilder. Trasporta altri 4 oggetti senza diventare sovraccarico.,ここまで来たらもう自慢。一部ラバか強い人間なのでしょう。動きが阻害されることなく、アイテムを4つ多く運べる。,당신이 노새거나 힘 센 사람이라는 걸 과시하고 계시네요. 방해받지 않고 4개 더 많은 아이템을 소지할 수 있습니다.,"Weź się nie popisuj! Albo płynie w tobie krew muła, albo strongmana. Noś kolejne cztery przedmioty bez przeciążenia.","Não precisa ficar se gabando, você deve ser metade mula ou metade músculos. Carregue mais quatro itens sem ficar sobrecarregado.","Теперь вы просто хвастаетесь. Вы либо наполовину мул, либо цирковой силач. Вы можете нести еще четыре предмета без последствий.",Bu yaptığına hava atmak denir. Ya çok güçlüsün ya da biraz katırlık var. Yükün ağır gelmeden dört öğe daha fazla taşı.,现在你就是在炫耀，你要么是半头骡子，要么是一个强人。负重不受影响，再携带四样东西。,你現在不過是在表現自己，你是一個騾半獸人或強人。再帶四樣東西而不會負重。,"Ahora solo estás presumiendo, eres parte mula o un hombre fuerte. Lleva cuatro artículos más sin desbordarte."
resourceCropHopsFlowerDesc,items,Farming,,,The hops flower is a critical ingredient for brewing frothies.,,Die Hopfenblume ist eine wichtige Zutat zum Brauen von Bier.,La flor del lúpulo es un ingrediente fundamental para destilar cerveza.,La fleur de houblon est un composant essentiel pour le brassage de la bière.,Il fiore di luppolo è l'ingrediente principale della birra.,ホップの花はビールの醸造になくてはならない原料です。,홉은 맥주 제작 시 반드시 있어야 할 성분입니다.,Bez szyszek chmielu nie ma piwa.,Um ingrediente fundamental para a fabricação de cerveja.,Цветок хмеля – крайне важный ингредиент для пивоварения.,"Şerbetçiotu çiçeği, bira yapımı için gerekli bir malzemedir.",啤酒花是酿酒的关键材料。,蛇麻草花是釀酒必不可少的原料。,La flor del lúpulo es un ingrediente fundamental para destilar cerveza.
drinkJarBeer,items,Food,,,Frothy,,Bier,Cerveza,Bière,Birra,ビール,맥주,Piwo,Cerveja,Пиво,Bira,啤酒,啤酒,Cerveza
drinkJarBeerDesc,items,Food,,,"300% Fist Melee Damage\n50% Stamina Gain\n\nChuck down a cold one to gain stamina, bravado and stun immunity all in one bottle of tasty home brewed frothy. Bottoms up!",,"300 % Faust-Nahkampfschaden\n50 % mehr Ausdauer\n\nErhalte Ausdauer, Wagemut und Betäubungs-Immunität in nur einer Flasche dieses leckeren selbstgebrauten Biers. Das gleiche Bier, das Opa früher immer braute.","300 % de daño cuerpo a cuerpo.\n50 % de aumento de resistencia.\n\nObtén resistencia, valentía e inmunidad al aturdimiento de una sola vez con esta deliciosa botella de cerveza casera. Tal y como el abuelo solía hacerla.","300 % de dégâts de mêlée à mains nues\n50 % de gain en endurance\n\nBoire une bouteille de cette délicieuse bière artisanale vous offre endurance, bravoure et immunité contre l'étourdissement. Exactement comme celle que faisait papy.","300% danni da mischia con pugni\n50% guadagno vigore\n\nGuadagna vigore, spavalderia e immunità a stordimento: tutto con una sola bottiglia di gustosa birra fatta in casa. Proprio come quella che faceva il nonno.",徒手空拳ダメージ300%アップ\nスタミナ上昇50%アップ\n\nスタミナ上昇、虚勢、気絶耐性を一本のボトルに詰め込んだ美味しい自家製ビール。懐かしいおじいちゃんの味。,"주먹 근접 대미지 300%\n스태미너 증가 50%\n\n이 수제 맥주를 한 병만 마셔도 스태미너가 증가하고, 허세가 늘고, 기절에 면역이 되는 효과를 누릴 수 있습니다. 할아버지께서 이런 맥주를 만드셨는데 말이죠.","Wzrost obrażeń podczas walki bez broni o 300%\nWzrost wytrzymałości o 50%\n\nAby zwiększyć wytrzymałość, brawurę i zabezpieczyć się przed ogłuszeniem, wystarczy jedna butelka pysznego domowego piwa. Dokładnie takie warzył dziadek.","Dano corpo a corpo de punho com + 300%\nGanho de vigor com + 50%.\n\nGanhe vigor, intimidação e imunidade a atordoamento, tudo isso em uma jarra desta cerveja artesanal deliciosa. Igualzinho a do vovô.","300% урона в рукопашном бою\nна 50% больше выносливости\n\nВыносливость, храбрость и устойчивость к оглушению – всё в одной бутылке вкусного домашнего свежесваренного пива. Прямо как у дедушки.","%300 Yumrukla Yakın Dövüş Hasarı\n%50 Dayanıklılık Kazancı\n\nEv yapımı bu leziz biranın bir şişesiyle dayanıklılık, kabadayılık ve sersemletmeye karşı bağışıklık kazanabilirsin. Aynı dedemin yaptığı gibi.",首次近战伤害300%\n获得体力50%\n\n一瓶好喝的家酿啤酒下肚，即可获得体力、虚张声势和眩晕免疫。尝起来有祖父的味道。,300% 的拳打近戰傷害\n耐力增加 50% \n\n喝下這瓶美味的家釀啤酒可獲得耐力並對敵人的虛張聲勢和眩暈免疫。就像爺爺過去釀的酒一樣。,"300 % de daño cuerpo a cuerpo.\n50 % de aumento de resistencia.\n\nObtén resistencia, valentía e inmunidad al aturdimiento de una sola vez con esta deliciosa botella de cerveza casera. Tal y como el abuelo solía hacerla."
drinkJarBeerSchematic,items,Food,,,Frothy Recipe,,Rezept – Bier,Receta de cerveza,Composition de bière,Ricetta della birra,ビールレシピ,맥주 레시피,Przepis na piwo,Receita de Cerveja,Рецепт пива,Bira Tarifi,啤酒配方,啤酒配方,Receta de cerveza
txName_Beercooler,painting,txGroupDecoration,,,Frothy cooler,,Bierkühler,Refrigerador para cerveza,Glacière à bière,Distributore di birra,ビールクーラー,맥주 쿨러,Chłodziarka do piwa,Refrigerador de cerveja,Холодильник для пива,Bira dolabı,啤酒冰箱,啤酒冰櫃,Refrigerador para cerveza
perkBarBrawling7BoozedUpDesc,progression,perk  book,,,Drinking frothies no longer blurs your vision.,,"Wenn du Bier trinkst, wird deine Sicht nicht länger unscharf.",Beber cerveza ya no te nubla la visión.,Boire de la bière ne trouble plus votre vue.,Bere birra non ti offusca la visione.,ビールを飲んでも視界がぼやけることがなくなります。,맥주를 마셔도 시야가 흐려지지 않습니다.,Picie piwa już nie zamazuje twojej wizji.,A ingestão de cerveja não atrapalha mais a visão.,Пиво больше не ухудшает зрение.,Bira içmek artık görme yeteneğini bulanıklaştırmaz.,喝啤酒不会再让你眼花。,喝啤酒再也不會模糊你的視線。,Beber cerveza ya no te nubla la visión.
